test_name task_name gold_standard_file coverage model model_configuration metric score_value
./experiment_qtwalk/ikgrc_rdfstar2vec_0.7_0.3_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=0.1 accuracy 0.8779629629629632
./experiment_qtwalk/ikgrc_rdfstar2vec_0.7_0.3_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=1.0 accuracy 0.9559259259259264
./experiment_qtwalk/ikgrc_rdfstar2vec_0.7_0.3_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=10.0 accuracy 0.9622222222222222
./experiment_qtwalk/ikgrc_rdfstar2vec_0.7_0.3_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=100 accuracy 0.9625925925925928
./experiment_qtwalk/ikgrc_rdfstar2vec_0.7_0.3_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=1000 accuracy 0.9625925925925928
./experiment_qtwalk/ikgrc_rdfstar2vec_0.7_0.3_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 NB - accuracy 0.8287777777777778
./experiment_qtwalk/ikgrc_rdfstar2vec_0.7_0.3_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 KNN K=3 accuracy 0.8795555555555555
./experiment_qtwalk/ikgrc_rdfstar2vec_0.7_0.3_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 C45 - accuracy 0.6671111111111111
./experiment_qtwalk/ikgrc_rdfstar2vec_0.7_0.3_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 SVM C=0.001 accuracy 0.6906666666666668
./experiment_qtwalk/ikgrc_rdfstar2vec_0.7_0.3_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 SVM C=0.01 accuracy 0.6906666666666668
./experiment_qtwalk/ikgrc_rdfstar2vec_0.7_0.3_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 SVM C=0.1 accuracy 0.8397777777777776
./experiment_qtwalk/ikgrc_rdfstar2vec_0.7_0.3_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 SVM C=1.0 accuracy 0.9537777777777776
./experiment_qtwalk/ikgrc_rdfstar2vec_0.7_0.3_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 SVM C=10.0 accuracy 0.9648888888888888
./experiment_qtwalk/ikgrc_rdfstar2vec_0.7_0.3_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 SVM C=100 accuracy 0.9648888888888888
./experiment_qtwalk/ikgrc_rdfstar2vec_0.7_0.3_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 SVM C=1000 accuracy 0.9648888888888888
./experiment_qtwalk/ikgrc_rdfstar2vec_0.2_0.6_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 NB - accuracy 0.8301851851851852
./experiment_qtwalk/ikgrc_rdfstar2vec_0.2_0.6_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 KNN K=3 accuracy 0.7783333333333333
./experiment_qtwalk/ikgrc_rdfstar2vec_0.2_0.6_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 C45 - accuracy 0.6940740740740738
./experiment_qtwalk/ikgrc_rdfstar2vec_0.2_0.6_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=0.001 accuracy 0.8535185185185185
./experiment_qtwalk/ikgrc_rdfstar2vec_0.2_0.6_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=0.01 accuracy 0.8535185185185185
./experiment_qtwalk/ikgrc_rdfstar2vec_0.2_0.6_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=0.1 accuracy 0.8851851851851851
./experiment_qtwalk/ikgrc_rdfstar2vec_0.2_0.6_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=1.0 accuracy 0.9433333333333332
./experiment_qtwalk/ikgrc_rdfstar2vec_0.2_0.6_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=10.0 accuracy 0.96
./experiment_qtwalk/ikgrc_rdfstar2vec_0.2_0.6_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=100 accuracy 0.9533333333333336
./experiment_qtwalk/ikgrc_rdfstar2vec_0.2_0.6_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_person_object_place 1.0 SVM C=1000 accuracy 0.9533333333333336
./experiment_qtwalk/ikgrc_rdfstar2vec_0.2_0.6_remove_Situation_Statement_Thought_wang2vec_100_cosine_2_1 Classification kgrc_qt900 1.0 NB - accuracy 0.8518888888888888
